Discharge Year,Software Version,Patient Zipcode,Observed Rate Per 100 People,Expected Rate Per 100 People,Risk Adjusted Rate Per 100 People,Difference in Rates
2015,1.32,10970,20.68,25.84,19.98,-5.15
2015,1.32,10973,21.79,20.66,26.32,1.13
2015,1.32,10974,14.16,21.66,16.31,-7.50
2015,1.32,10975,7.83,19.85,9.85,-12.01
2015,1.32,10976,13.61,20.48,16.59,-6.87
2015,1.32,10977,20.94,27.53,18.98,-6.59
2015,1.32,10980,16.69,21.62,19.26,-4.93
2015,1.32,10983,10.74,18.77,14.28,-8.03
2015,1.32,10984,15.55,21.95,17.67,-6.40
2015,1.32,10985,25.58,24.13,26.46,1.45
2015,1.32,10986,14.62,22.03,16.55,-7.42
2015,1.32,10987,11.47,20.07,14.26,-8.60
2015,1.32,10989,16.37,21.58,18.93,-5.21
2015,1.32,10990,17.09,22.28,19.14,-5.19
2015,1.32,10992,16.71,22.54,18.50,-5.83
2015,1.32,10993,27.33,28.45,23.97,-1.12
2015,1.32,10994,13.66,19.15,17.80,-5.49
2015,1.32,10996,1.04,24.85,1.05,-23.81
2015,1.32,10998,15.83,21.48,18.39,-5.65
2015,1.32,11001,11.52,22.13,12.99,-10.61
2015,1.32,11003,24.56,34.14,17.95,-9.58
2015,1.32,11004,13.40,21.34,15.67,-7.94
2015,1.32,11005,11.53,22.53,12.77,-11.00
2015,1.32,11010,14.18,20.26,17.46,-6.08
2015,1.32,11020,13.73,16.95,20.22,-3.22
2015,1.32,11021,10.99,19.07,14.38,-8.08
2015,1.32,11023,11.87,21.80,13.58,-9.94
2015,1.32,11024,13.15,23.97,13.70,-10.81
2015,1.32,11030,10.17,18.41,13.78,-8.24
2015,1.32,11040,10.83,16.88,16.01,-6.05
2015,1.32,11050,13.97,19.29,18.08,-5.32
2015,1.32,11096,26.67,29.10,22.87,-2.43
2015,1.32,11101,26.66,25.47,26.12,1.19
2015,1.32,11102,27.36,23.92,28.54,3.44
2015,1.32,11103,16.25,22.88,17.72,-6.64
2015,1.32,11104,16.00,20.41,19.56,-4.41
2015,1.32,11105,15.13,22.32,16.92,-7.19
2015,1.32,11106,22.91,24.10,23.72,-1.19
2015,1.32,11201,19.94,24.59,20.23,-4.65
2015,1.32,11203,38.09,44.00,21.61,-5.90
2015,1.32,11204,11.42,15.54,18.34,-4.12
2015,1.32,11205,28.24,30.65,22.99,-2.41
2015,1.32,11206,40.98,28.25,36.20,12.73
2015,1.32,11207,43.12,39.16,27.47,3.96
2015,1.32,11208,39.64,36.34,27.22,3.31
2015,1.32,11209,17.33,21.10,20.49,-3.78
2015,1.32,11210,22.50,34.69,16.19,-12.18
2015,1.32,11211,20.17,23.39,21.51,-3.22
2015,1.32,11212,51.85,42.36,30.54,9.49
2015,1.32,11213,29.48,39.22,18.76,-9.74
2015,1.32,11214,14.90,15.03,24.73,-0.13
2015,1.32,11215,13.45,24.76,13.56,-11.30
2015,1.32,11216,27.34,40.75,16.74,-13.41
2015,1.32,11217,21.78,28.71,18.93,-6.93
2015,1.32,11218,17.07,21.65,19.68,-4.57
2015,1.32,11219,12.99,16.15,20.07,-3.16
2015,1.32,11220,20.96,15.03,34.80,5.93
2015,1.32,11221,41.59,35.99,28.84,5.60
2015,1.32,11222,14.82,23.16,15.97,-8.34
2015,1.32,11223,16.77,18.29,22.88,-1.52
2015,1.32,11224,31.42,25.66,30.55,5.75
2015,1.32,11225,27.85,39.78,17.47,-11.93
2015,1.32,11226,33.50,40.13,20.83,-6.63
2015,1.32,11228,13.13,15.53,21.10,-2.40
2015,1.32,11229,16.77,18.84,22.20,-2.08
2015,1.32,11230,16.56,20.83,19.84,-4.27
2015,1.32,11231,20.13,26.26,19.13,-6.13
2015,1.32,11232,20.43,22.84,22.31,-2.42
2015,1.32,11233,34.66,43.22,20.01,-8.56
2015,1.32,11234,21.12,32.17,16.38,-11.05
2015,1.32,11235,21.01,19.87,26.38,1.14
2015,1.32,11236,30.31,43.14,17.53,-12.83
2015,1.32,11237,40.25,26.51,37.89,13.74
2015,1.32,11238,21.76,33.96,15.99,-12.20
2015,1.32,11239,34.33,36.21,23.66,-1.88
